Restart? - 0
Model:	2dxyz
Jx:	0.225
Jy:	0.425
Jz:	0.25
Field:	0.05
Theta:	0
Dissipation:	1
N_sites (col x row):	9    (3 x 3 )
Reference:	
000
000
000

000
000
000

---------------------------


Number of iteration:	40000
Target walker number:	25000
Initial energy shift:	-4
Time step:	0.001
Random seed:	12345
Population control damping:	0.1
Importance sampling:	0.606531
Initiator:	10
Starting time:	Mon Jan 15 16:00:27 2018

---------------------------
Time 	 State number 	 Real Mx 	 Imag Mx 	 Real My 	 Imag My 	 Real Mz 	 Imag Mz 	 Div real 	 Div imag 	 Diag_det_nb 	 Det_nbr
248	109	0.549574	0.366383	4.03021	-0.549574	-424.889	0.555556	432	-1	14	109
249	110	0.549574	0.549574	4.2134	-0.549574	-425.889	0.555556	433	-1	14	110
250	111	0.549574	0.549574	4.2134	-0.549574	-425.889	0.555556	433	-1	14	111
251	112	0.549574	0.549574	4.2134	-0.549574	-427.444	0.555556	435	-1	15	112
252	115	0.549574	0.549574	4.2134	-0.915956	-427.444	0.555556	435	-1	15	115
253	117	0.549574	0.549574	4.2134	-0.915956	-430.444	0.555556	438	-1	15	117
254	118	0.549574	0.549574	4.2134	-0.915956	-431.444	0.555556	439	-1	15	118
255	121	0.549574	0.732765	4.39659	-0.915956	-432.444	0.555556	440	-1	15	121
256	123	0.915956	0.732765	4.39659	-0.549574	-434.444	0.555556	442	-1	15	123
257	123	0.915956	0.732765	4.39659	-0.549574	-435.444	0.555556	443	-1	15	123
258	124	0.915956	0.732765	4.39659	-0.549574	-435.444	0.555556	443	-1	15	124
259	128	0.915956	1.09915	4.76297	-0.549574	-439.444	0.555556	447	-1	15	128
260	128	0.915956	1.09915	4.76297	-0.549574	-439.444	0.555556	447	-1	15	128
261	129	0.915956	1.09915	4.76297	-0.549574	-441.444	0.555556	449	-1	15	129
262	134	0.915956	1.09915	4.76297	-0.549574	-441.444	0.555556	449	-1	15	134
263	134	0.915956	1.09915	4.76297	-0.549574	-444.444	0.555556	452	-1	15	134
264	135	0.915956	1.09915	5.12936	-0.549574	-445.444	0.555556	453	-1	15	135
265	135	0.915956	1.09915	5.12936	-0.549574	-445.444	0.555556	453	-1	15	135
266	135	0.915956	1.09915	5.12936	-0.549574	-447.444	0.555556	455	-1	15	135
267	136	0.915956	1.09915	5.12936	-0.549574	-449.444	0.555556	457	-1	15	136
268	136	0.915956	1.09915	5.12936	-0.549574	-451.444	0.555556	459	-1	15	136
269	137	0.915956	1.09915	5.12936	-0.549574	-452.444	0.555556	460	-1	15	137
270	139	0.915956	1.09915	5.12936	-0.549574	-451.444	0.555556	459	-1	15	139
271	140	0.915956	1.09915	5.12936	-0.549574	-454.556	0.555556	463	-1	15	140
272	142	0.915956	1.28234	5.31255	-0.549574	-456.556	0.555556	465	-1	15	142
273	145	0.915956	1.28234	5.31255	-0.549574	-457.556	0.555556	466	-1	15	145
274	147	0.915956	1.46553	5.12936	-0.549574	-458.556	1.11111	467	-2	15	147
275	148	0.915956	1.46553	5.12936	-0.549574	-459.556	1.11111	468	-2	15	148
276	150	0.915956	1.46553	5.12936	-0.549574	-462.111	1.11111	471	-2	15	150
277	152	0.915956	1.46553	5.12936	-0.549574	-463.111	1.11111	472	-2	15	152
278	153	0.915956	1.46553	5.12936	-0.549574	-464.111	1.11111	473	-2	15	153
279	153	0.915956	1.46553	5.12936	-0.549574	-468.111	1.11111	477	-2	15	153
280	155	0.915956	1.46553	5.12936	-0.549574	-474.111	1.11111	483	-2	15	155
281	157	0.732765	1.46553	5.12936	-0.732765	-475.111	1.11111	484	-2	15	157
282	159	0.732765	1.64872	5.31255	-0.732765	-476.667	1.11111	486	-2	15	159
283	160	0.732765	1.64872	5.31255	-0.732765	-476.667	1.11111	486	-2	15	160
284	161	0.732765	1.64872	5.31255	-0.732765	-478.667	1.11111	488	-2	15	161
285	163	0.732765	1.64872	5.31255	-0.732765	-481.667	1.11111	491	-2	15	163
286	165	0.732765	1.64872	5.31255	-0.732765	-483.667	0.555556	493	-1	15	165
287	168	0.732765	1.64872	5.31255	-0.732765	-487.667	0.555556	497	-1	15	168
288	168	0.915956	1.64872	5.31255	-0.915956	-491.667	0	501	0	15	168
289	171	0.915956	1.64872	5.31255	-0.915956	-493.667	0	503	0	15	171
290	174	0.915956	1.83191	5.49574	-0.915956	-494.667	0	504	0	15	174
291	174	0.915956	1.83191	5.49574	-0.915956	-496.667	0	506	0	15	174
292	175	1.09915	1.83191	5.49574	-1.09915	-498.222	1	508	-1	15	175
293	177	1.09915	1.83191	5.49574	-1.09915	-500.222	1	510	-1	15	177
294	180	1.09915	1.83191	5.49574	-1.09915	-500.222	1	510	-1	15	180
295	186	1.09915	1.83191	5.49574	-1.09915	-503.778	1	514	-1	16	186
296	188	1.09915	1.83191	5.49574	-1.09915	-503.778	1.55556	514	-2	17	188
297	190	1.09915	1.83191	5.49574	-1.09915	-507.778	1.55556	518	-2	17	190
298	189	1.09915	1.64872	5.67893	-1.09915	-510.778	1.55556	521	-2	17	189
299	189	1.09915	1.64872	5.67893	-1.09915	-511.778	1.55556	522	-2	17	189
300	191	1.09915	1.64872	5.67893	-1.09915	-514.778	1.55556	525	-2	17	191
301	192	1.09915	1.64872	5.67893	-1.09915	-515.778	1.55556	526	-2	17	192
302	196	1.09915	1.46553	5.86212	-1.09915	-515.333	1.55556	526	-2	17	196
303	200	1.09915	1.46553	5.86212	-1.09915	-517.889	1.55556	529	-2	17	200
304	201	1.09915	1.46553	5.86212	-1.09915	-517.889	1.55556	529	-2	17	201
305	205	1.28234	1.46553	5.86212	-0.915956	-519.889	1.55556	531	-2	17	205
306	210	1.28234	1.64872	6.04531	-0.915956	-523.889	1.55556	535	-2	17	210
307	216	1.28234	1.64872	6.04531	-0.915956	-524.889	1.55556	536	-2	17	216
308	217	1.28234	1.28234	6.41169	-0.915956	-525.889	1.55556	537	-2	17	217
309	220	1.28234	1.46553	6.59489	-0.915956	-527.889	1.55556	539	-2	17	220
310	222	1.28234	1.64872	6.77808	-0.915956	-531.444	1.55556	543	-2	18	222
311	221	1.28234	1.64872	6.77808	-0.915956	-534.444	1.55556	546	-2	18	221
312	222	1.28234	1.46553	6.96127	-0.915956	-535.444	1.55556	547	-2	18	222
313	223	1.28234	1.46553	6.96127	-0.915956	-536.444	1.55556	548	-2	18	223
314	227	1.28234	1.46553	6.96127	-0.915956	-538	1.55556	550	-2	18	227
315	226	1.28234	1.46553	6.96127	-0.915956	-538	0.555556	550	-1	18	226
316	228	1.46553	1.46553	7.32765	-1.09915	-541.556	0.555556	554	-1	18	228
317	228	1.46553	1.64872	7.51084	-1.09915	-543.556	0.555556	556	-1	18	228
318	230	1.46553	1.64872	7.51084	-1.09915	-547.556	0.555556	560	-1	18	230
319	230	1.46553	1.64872	7.51084	-1.09915	-548.556	0.555556	561	-1	18	230
320	231	1.46553	1.64872	7.51084	-1.09915	-550.556	0.555556	563	-1	18	231
